checkpoint,source_id,path,path_exists,needle,needle_found,line_number,role,generated_utc,valid_for_claim
4600,SRC4600_00_4599_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4599-Y5-R2FR-label-Hodge-support-readout-zero-or-CXlive-next-norm.md,True,C_X^post4599,True,39,4599 live C_X handoff.,2026-07-06T14:39:14.700759+00:00,False
4600,SRC4600_01_615_formal,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\615-PPC4161-label-Hodge-support-readout-zero-or-CXlive-next-norm.md,True,C_X^post4599,True,14,formal 4599 C_X split.,2026-07-06T14:39:14.700759+00:00,False
4600,SRC4600_02_4599_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4599_NEXT_TARGET.csv,True,4600-Y5-R2FR-boundary-nonHilbert-zero-or-final-CXlive-norm.md,True,2,machine-readable next target.,2026-07-06T14:39:14.700759+00:00,False
4600,SRC4600_03_4599_status,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4599_STATUS.csv,True,boundary/non-Hilbert C_X rows,True,2,4599 status names the missing rows.,2026-07-06T14:39:14.700759+00:00,False
4600,SRC4600_04_4599_body,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4599_BODY_CHARGE_ENVELOPE_LABEL_HODGE_READOUT_UPDATE.csv,True,BU4599_0_Csplit,True,2,post4599 body-charge C split.,2026-07-06T14:39:14.700759+00:00,False
4600,SRC4600_05_4599_cxlive,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4599_CXLIVE_NEXT_NORM_ROWS.csv,True,C4599_4_LHRS,True,6,LHRS live row.,2026-07-06T14:39:14.700759+00:00,False
4600,SRC4600_06_boundary_zero,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_MEMORY_SOURCE_BOUNDARY_2627_BOUNDARY_ZERO_GATE.csv,True,BZ2627_5_current_verdict,True,7,boundary zero not parent-derived.,2026-07-06T14:39:14.700759+00:00,False
4600,SRC4600_07_boundary_hair,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_MEMORY_SOURCE_BOUNDARY_2627_COUNTERMODEL_LEDGER.csv,True,CM2627_3_boundary_hair,True,5,boundary hair countermodel.,2026-07-06T14:39:14.700759+00:00,False
4600,SRC4600_08_boundary_lift,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_MEMORY_SOURCE_BOUNDARY_2627_FINITE_RESIDUAL_BOUND_PACK.csv,True,RBP2627_2_boundary_lift,True,4,finite boundary lift row.,2026-07-06T14:39:14.700759+00:00,False
4600,SRC4600_09_boundary_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BOUNDARY_REFERENCE_CONDITIONAL_THEOREM_CHAIN.csv,True,CT545_5_conditional_plateau,True,7,boundary/reference conditional theorem.,2026-07-06T14:39:14.700759+00:00,False
