clause_id,object,formula,current_result,needed_signature_or_input,valid_for_claim,timestamp_utc
MQC4835_0_qmap,parent quotient map,q:Phi_parent->Q_obs and Dq[v_X]=0 before readout,CONDITIONAL_ONLY,q_map_signed,False,2026-07-08T11:55:17+00:00
MQC4835_1_observed_geometry,observed geometry functor,e_obs=Obs_e(q(Phi)); Lie_v e_obs=0,NOT_PARENT_SIGNED,observed_geometry_functor_signed,False,2026-07-08T11:55:17+00:00
MQC4835_2_matter_functor,ordinary matter grammar,"S_ord=sum_A S_A[Psi_A,e_obs(q(Phi)),omega[e_obs],theta_A]",CONTRACT_ONLY,matter_functor_signed,False,2026-07-08T11:55:17+00:00
MQC4835_3_constants,constant/superselection sector,theta_A=theta_bar_A(q(Phi)) or fixed representation data; Lie_v theta_A=0,OPEN_BLOCKER,constants_superselection_signed,False,2026-07-08T11:55:17+00:00
MQC4835_4_marker,material marker taxonomy,"no matter-visible marker, or marker is absent/gauge/auxiliary/source-independent",OPEN_BLOCKER,no_material_marker_signed,False,2026-07-08T11:55:17+00:00
MQC4835_5_lift,matter-field vertical lift,delta_v Psi is zero/on-shell/gauge-Lorentz with proper boundary,OPEN_BLOCKER,matter_lift_signed,False,2026-07-08T11:55:17+00:00
MQC4835_6_worldtube,worldtube/source support,W_source and source measure descend before fitting/readout,OPEN_BLOCKER,worldtube_support_signed,False,2026-07-08T11:55:17+00:00
MQC4835_7_direct,no direct matter X vertex,"no V_m[X,rho_A,W], no hidden frames, no relative source prefactors",CONDITIONAL_SCHEMA,no_direct_matter_X_vertex_signed,False,2026-07-08T11:55:17+00:00
MQC4835_8_universal,universal source current,one Hilbert/coframe source and universal kappa for ordinary matter,OPEN_BLOCKER,universal_source_current_signed,False,2026-07-08T11:55:17+00:00
MQC4835_9_nonHilbert,non-Hilbert currents,"spin/torsion/topological/edge currents absent, exact, zero-flux or separately retained",OPEN_BLOCKER,nonHilbert_current_zero_signed,False,2026-07-08T11:55:17+00:00
MQC4835_10_guard,no qbar shortcut,qbarXT=0 only by signed descent/superselection; otherwise first source row stays live,GUARD_ACTIVE,no_cancellation_guard,False,2026-07-08T11:55:17+00:00
