checkpoint,source_id,source_path,exists,needle,needle_found,role,valid_for_claim,timestamp_utc
4838,SRC4838_00_resume,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\CURRENT_LOCAL_RESUME.md,True,4838-Y5-R2FR-kappa-G-source-normalization-Newtonian-limit-gate.md,True,4837 handoff to kappa/G/Newton gate.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_01_4837_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4837-Y5-R2FR-EM-stress-Poynting-alpha-normal-form-or-source-row.md,True,EM_STRESS_POYNTING_ALPHA_NORMAL_FORM_UNSIGNED_SOURCE_ROW_STAGED_NONCLAIM,True,"EM stress must be included once, not dropped or double-counted.",False,2026-07-08T12:30:39+00:00
4838,SRC4838_02_4719_poisson,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4719-Y5-R2FR-local-linearized-GR-limit-and-Poisson-equation-residual-bound.md,True,LFE4719_3_Poisson_equation_with_residual,True,linearized EH to Poisson bridge.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_03_4778_mass,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4778-Y5-R2FR-Hamiltonian-mass-source-functional-runner-or-E00-bound-input.md,True,RC4778_1_mass_residual,True,Hamiltonian mass/source residual runner.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_04_4825_BY5,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4825-Y5-R2FR-BY5-source-functor-zero-or-first-source-normalization-row.md,True,B_Y5_trace,True,BY5 source-normalization tail.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_05_4825_output,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4825_BY5_SOURCE_FUNCTOR_RUNNER_OUTPUT.csv,True,RUN4825_3_live_BY5_bound_missing,True,live BY5 source row remains blocked.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_06_4826_output,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4826_PIM_COMMUTATOR_RUNNER_OUTPUT.csv,True,RUN4826_3_live_bound_missing,True,PiM commutator live bound remains blocked.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_07_kappa_status,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_local_GR_kappa_G_Newtonian_gate_status.csv,True,STAT3530_0_kappa,True,kappa/G policy and Newton gate status.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_08_hilbert_denominator,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_local_GR_Hilbert_source_denominator_status.csv,True,STAT3531_0_denominator,True,Hilbert source denominator status.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_09_pim_htau,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_local_GR_PiM_Htau_zero_mechanism_status.csv,True,STAT3532_0_RPiM,True,PiM/Htau zero mechanism status.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_10_kappa_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3530_KAPPA_G_CONTRACT.csv,True,KG3530_0_EH_coefficient,True,EH coefficient and calibrated G contract.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_11_poisson_gates,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3530_POISSON_PPN_GATES.csv,True,PNG3530_2_Newton_Poisson,True,Newton/Poisson gate.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_12_denominator_bounds,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3531_NEWTON_DENOMINATOR_BOUND_ROWS.csv,True,HSDB3531_0_Gdot_denominator,True,denominator bound targets.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_13_poisson_chain,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3499_POISSON_NEWTON_THEOREM_CHAIN.csv,True,PNC3499_2_EH_00_to_Poisson,True,EH 00 to Poisson theorem chain.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_14_gref_signature,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3500_CONSTANT_GREF_SIGNATURE.csv,True,GREF3500_2_no_orbital_absorption,True,no orbital GM absorption guard.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_15_kappa_gref,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3511_KAPPA_GREF_ACTION_LINE_LOCK_THEOREM.csv,True,KGL3511_2_product_lock_identity,True,G_ref/product lock identity.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_16_hilbert_current,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3558_HILBERT_CURRENT_CLOSURE_THEOREM.csv,True,HC3558_2_closure_sufficient_conditions,True,Hilbert source current closure.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_17_pim_identity,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3559_HILBERT_IDENTITY_PIM_ADOPTION_THEOREM.csv,True,PIA3559_1_identity_chainmap_zero,True,typed PiM identity-chainmap route.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_18_density_qbasic,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3561_HILBERT_DENSITY_QBASIC_THEOREM.csv,True,HDQ3561_1_pullback_density_theorem,True,Hilbert density q-basic pullback route.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_19_em_source,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3620_MAXWELL_SOURCE_CALIBRATION_GATE.csv,True,MCG3620_2_unique_F2,True,EM stress/source calibration gate.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_20_source_runner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3639_SOURCE_NORMALIZATION_RUNNER_ROWS.csv,True,SNR3639_1_no_cancellation,True,source-normalization no-cancellation guard.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_21_poisson_calibration,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3754_POISSON_CALIBRATION_ROWS.csv,True,PC3754_2_poisson_coefficient,True,Poisson coefficient law.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_22_kappa_theorem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3755_KAPPA_THEOREM_ROWS.csv,True,KT3755_2_bianchi_arbitrary_source,True,Bianchi route for kappa derivative silence.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_23_kappa_coeffs,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3768_KAPPA_RESIDUAL_COEFFICIENTS.csv,True,KRC3768_1_epsilon_kappa,True,kappa residual coefficient row.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_24_newton_gm,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3772_NEWTON_GM_RESIDUAL_COEFFICIENTS.csv,True,NGR3772_1_active_inertial,True,active/inertial source mass residual.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_25_newton_hamiltonian,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3772_NEWTON_SOURCE_HAMILTONIAN_THEOREM.csv,True,NSH3772_0_same_action_NR_expansion,True,same-action Newton source theorem.,False,2026-07-08T12:30:39+00:00
4838,SRC4838_26_runner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\kappa_G_source_Newton_runner.py,True,def evaluate_row,True,4838 executable runner.,False,2026-07-08T12:30:39+00:00
