checkpoint,source_id,label,path,exists,needle,needle_found,role,valid_for_claim
4542,SRC4542_00_4541_status,4541 status,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4541_STATUS.csv,True,c_Gamma_projection_bound_route_active,True,4541 activates c_Gamma projection-bound route,False
4542,SRC4542_01_4541_bounds,4541 projection-bound route,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4541_CGAMMA_PROJECTION_BOUND_ROUTE.csv,True,best_first_empirical_fallback,True,orbital/Gdot selected as first empirical fallback,False
4542,SRC4542_02_4188_nohair,4188 support/no-hair attempt,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4188_SUPPORT_NOHAIR_PROOF_ATTEMPT.csv,True,SPA4188_0_parent_operator,True,parent memory equation not found,False
4542,SRC4542_03_4188_product_law,4188 product law,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4188_CGAMMA_PRODUCT_LAW.csv,True,LAW4188_1_linear_bound,True,finite product-bound identity,False
4542,SRC4542_04_4188_bound_imports,4188 bound imports,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4188_CGAMMA_BOUND_IMPORTS.csv,True,IMP4188_B4173_10_Gdot,True,source-backed Gdot bound import,False
4542,SRC4542_05_4188_runner,4188 product-bound runner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4188_CGAMMA_PRODUCT_BOUND_RUNNER.csv,True,RUN4188_B4173_10_Gdot,True,Gdot product row,False
4542,SRC4542_06_4188_strictest,4188 strictest product bounds,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4188_STRICTEST_PRODUCT_BOUNDS.csv,True,C_Gamma_Gdot,True,strictest product-bound summary,False
4542,SRC4542_07_4188_priority,4188 priority decision,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4188_PRIORITY_DECISION.csv,True,derive_or_fill C_Gamma_metric and C_Gamma_Gdot/orbital first,True,metric and Gdot/orbital prioritized before R10,False
4542,SRC4542_08_4189_status,4189 projection split,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4189_STATUS.csv,True,parent_memory_equation_found,True,parent memory equation remains missing after projection split,False
4542,SRC4542_09_4190_status,4190 finite profile bounds,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4190_STATUS.csv,True,finite_profile_bounds_ready,True,profile bounds ready but numeric profile absent,False
