source_id,path,exists,parse_ok,sha256_prefix,role,valid_for_claim
SRC3328_0_3318_Gamma,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3318-Y5-R2FR-Gamma-extra-sector-nonpropagation-proof-or-Bi-envelope-under-AX1090.md,true,true,9eea006b55d9296b,Gamma extra-sector local nonpropagation/readout branch,false
SRC3328_1_3319_psi,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3319-Y5-R2FR-psi-coarse-graining-no-finite-public-residue-or-Bi-bound-under-AX1090.md,true,true,3428a63ddc30a72c,psi public readout split and tree residue route,false
SRC3328_2_3321_epsilon,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3321-Y5-R2FR-smoothing-kernel-scale-separation-bound-for-epsilon-grad-under-AX1090.md,true,true,ec766d9c1d90c3d7,epsilon_grad smoothing transfer and threshold rows,false
SRC3328_3_3322_Ci,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3322-Y5-R2FR-Ci-projection-and-composite-contact-tail-gate-for-epsilon-grad-under-AX1090.md,true,true,a1a32d4922da2c0a,C_i operator response and arena threshold formulas,false
SRC3328_4_3324_closure,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3324-Y5-R2FR-induced-EH-coefficient-or-measured-G-closure-local-GR-theorem-under-AX1090.md,true,true,d5a711fa9adba8d5,measured-G local GR/Newton/Maxwell closure theorem,false
SRC3328_5_3325_matter,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3325-Y5-R2FR-universal-matter-no-direct-psi-vertex-and-no-tadpole-signature-gate-under-AX1090.md,true,true,3ee0e0925c3bd2ce,macroscopic universal matter and EM stress signature,false
SRC3328_6_3327_composite,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3327-Y5-R2FR-parent-local-fluctuation-measure-or-numeric-composite-envelope-under-AX1090.md,true,true,de847a4d20f8a6e2,CLT/mixing composite envelope and required numeric inputs,false
SRC3328_7_3324_theorem_csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3324_MEASURED_G_CLOSURE_THEOREM.csv,true,true,250324c20c919ca2,closure theorem rows,false
SRC3328_8_3322_thresholds_csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3322_ARENA_THRESHOLD_FORMULAS.csv,true,true,077963fa10b60f4c,arena residual threshold formulas,false
SRC3328_9_3327_inputs_csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3327_REQUIRED_NUMERIC_INPUTS.csv,true,true,59b31f4f1bf3f02f,composite-envelope numeric inputs,false
SRC3328_10_3327_envelope_csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3327_COMPOSITE_ENVELOPE.csv,true,true,b2d28a1260f1c87e,composite residual envelope,false
