source_id,path,exists,needle_check,role,valid_for_claim,generated_utc
721_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\721-Y5-R10-parent-ZM-source-hunt-or-canonical-mode-template-fill.md,true,true,immediate handoff selecting affine/no-pole map first,false,2026-06-10T20:53:51+00:00
721_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_721_VALIDATION.csv,true,true,prior validation,false,2026-06-10T20:53:51+00:00
721_template,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_721_PARENT_ZM_TEMPLATE.csv,true,true,canonical Z/M template and single-X embedding row,false,2026-06-10T20:53:51+00:00
586_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\586-Y5-R10-Vdef-owner-action-sketch-or-edge-runner-numeric-priors.md,true,true,affine Vdef zero-Hessian/no-pole contract,false,2026-06-10T20:53:51+00:00
586_vdef_csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_586_VDEF_ACTION_SKETCH.csv,true,true,machine-readable affine Vdef action sketch,false,2026-06-10T20:53:51+00:00
586_theorem_csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_586_CONDITIONAL_NO_POLE_THEOREM.csv,true,true,conditional no-pole theorem clauses,false,2026-06-10T20:53:51+00:00
581_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\581-Y5-R10-quotient-vertical-no-pole-parent-theorem-attempt.md,true,true,quotient-vertical no-pole theorem shape,false,2026-06-10T20:53:51+00:00
581_certificate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_581_NO_POLE_CERTIFICATE_TEMPLATE.csv,true,true,no-pole certificate obligations,false,2026-06-10T20:53:51+00:00
582_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\582-Y5-R10-boundary-charge-and-constraint-algebra-no-pole-audit.md,true,true,momentum-map and boundary-cocycle no-pole gate,false,2026-06-10T20:53:51+00:00
582_gate_csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_582_NOPOLE_GATE_STATUS.csv,true,true,machine-readable no-pole gate status,false,2026-06-10T20:53:51+00:00
626_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\626-Y5-R10-quotient-invariant-matter-action-signature-or-cg-bound-input.md,true,true,matter descent/coupling blocker,false,2026-06-10T20:53:51+00:00
579_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\579-Y5-R10-parent-Hessian-source-charge-fill-or-theorem-zero-return.md,true,true,finite single-X Hessian fallback contract,false,2026-06-10T20:53:51+00:00
564_hessian_csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_564_HESSIAN_EXTRACTION_FORMULA.csv,true,true,single-X Hessian extraction formulas,false,2026-06-10T20:53:51+00:00
607_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\607-Y5-R10-compact-shell-parent-coefficient-factorization-or-theorem-zero.md,true,true,finite alpha(lambda) factorization fallback,false,2026-06-10T20:53:51+00:00
