source_id,source_type,path_or_url,exists_or_recorded,needle,needle_found,role,timestamp_utc
SRC4077_00_4076_next,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4076_NEXT_TARGET.csv,True,4077-Y5-R2FR-observed-rest-space-descent-or-first-numeric-residual-bound.md,True,4076 selected observed rest-space descent or first numeric residual bound.,2026-07-02T02:49:56+00:00
SRC4077_01_4076_decision,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4076_DECISION_GATE.csv,True,TRIAD_GAUGE_REPRESENTATIVE_THEOREM_BUILT,True,4076 narrowed triad burden to h/e_obs ownership.,2026-07-02T02:49:56+00:00
SRC4077_02_4076_owner,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4076_PARENT_SPATIAL_METRIC_OWNER_TEST.csv,True,RADIAL_COMPONENTS_CONDITIONAL_FULL_H_NOT_PARENT_SIGNED,True,4076 left the full rest-space owner open.,2026-07-02T02:49:56+00:00
SRC4077_03_4076_runner,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4076_EFFECTIVE_RESIDUAL_RUNNER_ROWS.csv,True,epsilon_reciprocal_lock,True,4076 residual runner contains the reciprocal-lock P0 row.,2026-07-02T02:49:56+00:00
SRC4077_04_r10_coframe,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_943_COFRAME_COUPLING_CONTRACT.csv,True,CFC943_1_observed_coframe_descent,True,R10 coframe contract supplies the conditional quotient descent formula.,2026-07-02T02:49:56+00:00
SRC4077_05_same_coframe,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_SAME_COFRAME_PARENT_CLAUSE.csv,True,UOC519_2_readout_uses_same_e,True,"same-coframe clause identifies clocks, photons, and orbits with one e_obs.",2026-07-02T02:49:56+00:00
SRC4077_06_observed_flow,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_local_GR_observed_flow_stationary_branch_status.csv,True,conditional_same_stack_owner,True,observed flow/coframe branch is conditionally clean if inherited from same quotient.,2026-07-02T02:49:56+00:00
SRC4077_07_clock_gate,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_HILBERT_CURRENT_2467_CLOCK_COMPATIBILITY_GATE.csv,True,MISSING_PARENT_CLOCK_EQUATION,True,clock branch still lacks a dynamic parent equation.,2026-07-02T02:49:56+00:00
SRC4077_08_motion_load,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\02-motion-load-local-GR-reduction.md,True,gamma = p,True,motion-load local-GR branch maps reciprocal lock to PPN gamma.,2026-07-02T02:49:56+00:00
SRC4077_09_observer_map,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\10-observer-map-symplectic-contract.md,True,T^2 S,True,observer-map contract forbids deriving reciprocal routing from Schwarzschild AB=1.,2026-07-02T02:49:56+00:00
SRC4077_10_ppn_route,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\121-local-PPN-repair-route.md,True,epsilon_PPN_total,True,PPN route supplies residual vocabulary and local-PPN guardrails.,2026-07-02T02:49:56+00:00
WEB4077_0_cassini_nature,web_source,https://doi.org/10.1038/nature01997,True,gamma = 1 + (2.1 +/- 2.3) x 10^-5,True,primary PPN gamma measurement used as reciprocal-lock residual scale,2026-07-02T02:49:56+00:00
WEB4077_1_nist_ashby_bertotti,web_source,https://www.nist.gov/publications/accurate-light-time-correction-due-gravitating-mass,True,Cassini PPN gamma accuracy sigma_gamma = 2.3 x 10^-5,True,independent accessible provenance for Cassini gamma uncertainty scale,2026-07-02T02:49:56+00:00
