source_id,path,absolute_path,role,needle,exists,needle_found,valid_for_claim,generated_utc
940_doc,940-Y5-R10-chain-map-Hilbert-equality-or-CbetaN5-operator-source.md,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\940-Y5-R10-chain-map-Hilbert-equality-or-CbetaN5-operator-source.md,handoff selecting Hilbert worldtube same-object route,941-Y5-R10-Hilbert-worldtube-same-object-glue-or-CbetaN5-operator-fill.md,true,true,false,2026-06-13T19:05:31.385873+00:00
940_validation,source-intake/mts_residuals/P8_Y5_BRR545_940_VALIDATION.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_940_VALIDATION.csv,previous checkpoint validation,V940_14_validation_rows_ready,true,true,false,2026-06-13T19:05:31.386219+00:00
662_doc,662-Y5-R10-Hilbert-worldtube-source-measure-glue-or-equality-residual-bound.md,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\662-Y5-R10-Hilbert-worldtube-source-measure-glue-or-equality-residual-bound.md,same-object theorem and R_glue residual identity,Q_H[W] = H_tau[S] - H_ref,true,true,false,2026-06-13T19:05:31.386803+00:00
510_doc,510-worldtube-source-measure-glue-or-Meff-residual-runner.md,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\510-worldtube-source-measure-glue-or-Meff-residual-runner.md,GR/EH worldtube source-measure reference theorem,worldtube_source_measure_glue_theorem_contract_built_EH_known_MTS_not_derived,true,true,false,2026-06-13T19:05:31.387444+00:00
HWT536_attempt,source-intake/mts_residuals/P8_Y5_HILBERT_WORLDTUBE_GLUE_THEOREM_ATTEMPT.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_HILBERT_WORLDTUBE_GLUE_THEOREM_ATTEMPT.csv,machine theorem-step rows for Hilbert worldtube glue,HWT536_0_parent_worldtube_fixed,true,true,false,2026-06-13T19:05:31.387870+00:00
HWG535_certificate,source-intake/mts_residuals/P8_Y5_HILBERT_WORLDTUBE_GLUE_CERTIFICATE.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_HILBERT_WORLDTUBE_GLUE_CERTIFICATE.csv,missing worldtube/certificate rows,HWG535_0_worldtube_fixed_before_readout,true,true,false,2026-06-13T19:05:31.388187+00:00
PAC537_contract,source-intake/mts_residuals/P8_Y5_HILBERT_WORLDTUBE_PARENT_ACTION_CONTRACT.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_HILBERT_WORLDTUBE_PARENT_ACTION_CONTRACT.csv,parent action clauses required for HWT536,PAC537_2_parent_fixed_worldtube,true,true,false,2026-06-13T19:05:31.388487+00:00
WT510_theorem,source-intake/mts_residuals/P8_WORLDTUBE_SOURCE_MEASURE_THEOREM.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_WORLDTUBE_SOURCE_MEASURE_THEOREM.csv,EH conditional source-measure theorem,T510_2_MTS_transfer_condition,true,true,false,2026-06-13T19:05:31.388790+00:00
WT510_clauses,source-intake/mts_residuals/P8_WORLDTUBE_SOURCE_MEASURE_CLAUSES.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_WORLDTUBE_SOURCE_MEASURE_CLAUSES.csv,worldtube source-measure clause status,WG510_1_minimal_observed_matter_coupling,true,true,false,2026-06-13T19:05:31.389097+00:00
WT510_proof,source-intake/mts_residuals/P8_WORLDTUBE_SOURCE_MEASURE_PROOF_SKETCH.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_WORLDTUBE_SOURCE_MEASURE_PROOF_SKETCH.csv,Noether/Stokes proof sketch,P510_5,true,true,false,2026-06-13T19:05:31.389389+00:00
