source_id,path,exists,needle_check,role,valid_for_claim,generated_utc
768_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\768-Y5-R10-local-GR-EH-or-R11-reentry-after-alpha-WEP-quarantine.md,true,true,immediate reentry selecting FB5540 as live edge,false,2026-06-12T02:37:18+00:00
768_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_768_VALIDATION.csv,true,true,prior 768 validation guard,false,2026-06-12T02:37:18+00:00
665_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\665-Y5-R10-fill-or-prove-FB554-0-Hamiltonian-integrability-reference-row.md,true,true,direct FB5540 proof/fill attempt,false,2026-06-12T02:37:18+00:00
665_component_audit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_665_FB5540_COMPONENT_AUDIT.csv,true,true,FB5540 component audit,false,2026-06-12T02:37:18+00:00
666_source_hunt,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_666_FB5540_SOURCE_VALUE_HUNT_LEDGER.csv,true,true,FB5540 source-value hunt ledger,false,2026-06-12T02:37:18+00:00
667_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\667-Y5-R10-explicit-parent-boundary-action-ansatz-and-variation-ledger.md,true,true,parent boundary action ansatz and variation ledger,false,2026-06-12T02:37:18+00:00
667_term_map,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_667_FB5540_TERM_MAP.csv,true,true,FB5540 term map,false,2026-06-12T02:37:18+00:00
668_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\668-Y5-R10-sector-Lagrangian-owner-and-boundary-condition-lock.md,true,true,sector Lagrangian owner and boundary condition lock,false,2026-06-12T02:37:18+00:00
668_impact,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_668_FB5540_IMPACT_MAP.csv,true,true,FB5540 impact map after sector-owner audit,false,2026-06-12T02:37:18+00:00
669_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\669-Y5-R10-minimal-LX-sector-operator-owner-or-retained-residual-vector.md,true,true,minimal L_X owner attempt,false,2026-06-12T02:37:18+00:00
670_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\670-Y5-R10-no-pole-quotient-LX-route-or-positive-sourcefree-operator-proof.md,true,true,no-pole/source-free L_X continuation,false,2026-06-12T02:37:18+00:00
673_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\673-Y5-R10-edge-coefficient-source-acquisition-or-Hamiltonian-PiM-orthogonality-proof.md,true,true,Hamiltonian PiM orthogonality blocker,false,2026-06-12T02:37:18+00:00
684_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\684-Y5-R10-observed-frame-tau-coframe-lock-for-MH-ref.md,true,true,observed-frame tau/coframe lock attempt,false,2026-06-12T02:37:18+00:00
742_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\742-Y5-R10-observed-tau-owner-or-q_loc-free-coefficient-pack.md,true,true,later tau-owner rejection,false,2026-06-12T02:37:18+00:00
759_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\759-Y5-R10-coupling-owner-action-or-residual-vector-acquisition-runner.md,true,true,coupling owner action audit,false,2026-06-12T02:37:18+00:00
759_coupling,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_759_COUPLING_OWNER_ACTION_AUDIT.csv,true,true,coupling owner action rows,false,2026-06-12T02:37:18+00:00
760_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\760-Y5-R10-quotient-matter-descent-or-coupling-residual-source-pack.md,true,true,quotient matter descent audit,false,2026-06-12T02:37:18+00:00
760_descent,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_760_QUOTIENT_DESCENT_PROOF_ATTEMPT.csv,true,true,quotient descent proof attempt rows,false,2026-06-12T02:37:18+00:00
763_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\763-Y5-R10-no-marker-spurion-theorem-or-coupling-source-fill.md,true,true,no-marker/no-spurion classification,false,2026-06-12T02:37:18+00:00
764_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\764-Y5-R10-constant-superselection-and-charge-normalization-or-source-fill.md,true,true,constant and charge descent gate,false,2026-06-12T02:37:18+00:00
767_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\767-Y5-R10-parent-matter-functor-no-alpha-vertex-or-WEP-closure.md,true,true,WEP/no-alpha quarantine before 768 reentry,false,2026-06-12T02:37:18+00:00
