source_id,source_kind,source_locator,source_exists,needle,needle_found,role,source_validated,valid_for_claim,timestamp_utc
SRC4856_00_4847,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4847-Y5-R2FR-coherent-load-covariant-Hilbert-stress-and-tau-Euler-equation-or-H-load-cosmology-smoke-fit.md,True,Holding \(u^\mu\) fixed during the metric variation,True,normalized-flow metric-variation convention,True,False,2026-07-09T22:52:54+00:00
SRC4856_01_4850,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4850-Y5-R2FR-H-load-scalar-kinetic-mode-or-parent-tau-regularization-before-CMB-growth.md,True,G=G_\theta=G_{\theta\theta}=0,True,stationary local memory fixed point,True,False,2026-07-09T22:52:54+00:00
SRC4856_02_4854,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4854-Y5-R2FR-parent-U1-connection-adoption-or-CP2-Berry-constructor-and-time-flow-constitutive-gate.md,True,kappa_u=eta_u/Z_A,True,propagation-bounded unit-flow coefficient,True,False,2026-07-09T22:52:54+00:00
SRC4856_03_4855,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4855-Y5-R2FR-Einstein-Maxwell-Komar-Tolman-source-charge-and-charged-exterior-PPN-gate.md,True,C_{uT},True,predecessor Hilbert-response residual,True,False,2026-07-09T22:52:54+00:00
SRC4856_04_bounds,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\local_bounds\local_bound_claims.csv,True,R5_alpha1,True,existing alpha1/alpha2 comparator rows,True,False,2026-07-09T22:52:54+00:00
SRC4856_05_variables,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\04-variable-audit.csv,True,c1_c2_c3_c4_parent,True,parent flow kinetic coefficients,True,False,2026-07-09T22:52:54+00:00
SRC4856_06_equations,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\05-equation-register.md,True,1.149 Normalized time-flow Hilbert and preferred-frame gate,True,equation integration,True,False,2026-07-09T22:52:54+00:00
SRC4856_07_checkpoint,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4856-Y5-R2FR-time-flow-Hilbert-variation-and-preferred-frame-PPN-alpha1-alpha2-gate.md,True,TIME_FLOW_HILBERT_PREFERRED_FRAME_4856,True,human-readable derivation,True,False,2026-07-09T22:52:54+00:00
SRC4856_08_formal872,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\872-PPC4161-time-flow-Hilbert-and-preferred-frame-gate.md,True,PPC4161_TIME_FLOW_HILBERT_PREFERRED_FRAME_4856,True,formal-workbench integration,True,False,2026-07-09T22:52:54+00:00
SRC4856_09_claim,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\02-claims-register.csv,True,L-698,True,claim register,True,False,2026-07-09T22:52:54+00:00
SRC4856_10_resume,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\CURRENT_LOCAL_RESUME.md,True,# Current local resume,True,resume ledger exists and may advance beyond 4856,True,False,2026-07-09T22:52:54+00:00
SRC4856_11_script,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\Y5_R2FR_4856_time_flow_Hilbert_and_preferred_frame_PPN.py,True,"CHECKPOINT = ""4856""",True,executable symbolic gate,True,False,2026-07-09T22:52:54+00:00
SRC4856_12_aether_PPN,primary_web_verified,https://arxiv.org/abs/gr-qc/0509083,True,Foster-Jacobson unit-timelike-vector PPN map,True,conditional parent kinetic operator map,True,False,2026-07-09T22:52:54+00:00
SRC4856_13_alpha1,primary_web_verified,https://arxiv.org/abs/1209.4503,True,alpha1=-0.4 +3.7/-3.1 e-5 at 95 percent,True,primary strong-field preferred-frame comparator,True,False,2026-07-09T22:52:54+00:00
SRC4856_14_alpha2,primary_web_verified,https://arxiv.org/abs/1307.2552,True,abs(alpha2_hat)<1.6e-9 at 95 percent,True,primary strong-field preferred-frame comparator,True,False,2026-07-09T22:52:54+00:00
SRC4856_15_aether_GW,primary_web_verified,https://arxiv.org/abs/1802.04303,True,abs(c13)<=1e-15 after GW170817,True,conditional tensor-speed pressure on aether-like parent completion,True,False,2026-07-09T22:52:54+00:00
