source_id,source_path,exists,anchors_required,anchors_found,missing_anchors,role,checkpoint,branch_id,control_only,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
SRC2974_00_2973_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2973-Y5-R2FR-Z-basis-physical-lock-map-and-NZ-normalization-or-q_loc-first-component-under-AX1090.md,True,NEXT2973_0_2974;conditional zero lemma,True,,2973 selected the q_loc owner/identity target,2974,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:57:02.880026+00:00
SRC2974_01_2973_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2973_NEXT_TARGET.csv,True,NEXT2973_0_2974,True,,machine handoff target,2974,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:57:02.880026+00:00
SRC2974_02_2973_qloc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2973_QLOC_FIRST_COMPONENT_ROW_NONCLAIM.csv,True,QLOC2973_0_definition;QLOC2973_6_bound_row,True,,q_loc first component row,2974,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:57:02.880026+00:00
SRC2974_03_2973_lock,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2973_Z_BASIS_PHYSICAL_LOCK_ATTEMPT.csv,True,LOCK2973_0_q_loc;LOCK2973_6_full_vector,True,,full Z lock remains failed,2974,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:57:02.880026+00:00
SRC2974_04_2973_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_2973_VALIDATION.csv,True,VAL2973_OVERALL,True,,2973 validation,2974,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:57:02.880026+00:00
SRC2974_05_1010_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1010-Y5-R10-Gamma-Khat-action-existence-Helmholtz-or-q_loc-residual-retention.md,True,GKT1010_0_variational_route;QRES1010_0_q_loc_vector,True,,older q_loc action-existence checkpoint,2974,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:57:02.880026+00:00
SRC2974_06_2190_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\beta-source\docs\PARENT_GAMMAKHAT_QLOC_DERIVATION_GATE_2190_NONCLAIM.csv,True,DG2190_0_identity_target;DG2190_9_verdict,True,,Gamma/Khat/q_loc derivation gate,2974,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:57:02.880026+00:00
SRC2974_07_2191_cert,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\beta-source\docs\PARENT_QLOC_THEOREM_ZERO_CERTIFICATE_2191_NONCLAIM.csv,True,TZ2191_0_action_owner;TZ2191_8_all_or_nothing,True,,q_loc theorem-zero certificate requirements,2974,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:57:02.880026+00:00
SRC2974_08_2206_ward,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\beta-source\docs\PARENT_QLOC_WARD_IDENTITY_2206_NONCLAIM.csv,True,WID2206_0_define_stress;WID2206_4_current_verdict,True,,Ward identity route,2974,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:57:02.880026+00:00
SRC2974_09_2207_kmr,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\beta-source\docs\PARENT_QLOC_KHAT_METRIC_RESPONSE_AUDIT_2207_NONCLAIM.csv,True,KMR2207_0_candidate_density_exists;KMR2207_5_overall,True,,K_hat metric-response audit,2974,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:57:02.880026+00:00
SRC2974_10_2799_action,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\beta-source\docs\GK_QLOC_ACTION_EXISTENCE_2799_NONCLAIM.csv,True,GKT2799_0_variational_route;GKT2799_6_verdict,True,,GK action existence theorem attempt,2974,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:57:02.880026+00:00
SRC2974_11_2808_metric,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\beta-source\docs\GAMMA_KHAT_METRIC_RESPONSE_2808_NONCLAIM.csv,True,MRD2808_0_action;MRD2808_6_verdict,True,,metric-response identity and Delta_K obstruction,2974,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:57:02.880026+00:00
SRC2974_12_2801_obs,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\beta-source\docs\QLOC_OBSERVABLE_MAP_2801_NONCLAIM.csv,True,QMAP2801_0_K_PPN;QMAP2801_7_Gdot,True,,q_loc observable map,2974,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:57:02.880026+00:00
SRC2974_13_2802_coeff,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\beta-source\docs\QLOC_FIRST_COEFFICIENT_2802_NONCLAIM.csv,True,COEFF2802_0_stress_balance_normalizer;COEFF2802_6_verdict,True,,first q_loc coefficient kernels,2974,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:57:02.880026+00:00
SRC2974_14_2803_body,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\beta-source\docs\QLOC_BODY_MOMENT_IDENTITY_2803_NONCLAIM.csv,True,BMI2803_0_body_moment;BMI2803_5_verdict,True,,body moment identity,2974,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:57:02.880026+00:00
SRC2974_15_2810_units,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\beta-source\docs\PLOC_QDELTAK_UNIT_UPDATE_2810_NONCLAIM.csv,True,QDU2810_0_DeltaK;QDU2810_4_acceleration,True,,P_loc/Delta_K unit update,2974,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:57:02.880026+00:00
SRC2974_16_2811_bound,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\beta-source\docs\PLOC_QDELTAK_BOUND_INTERFACE_2811_NONCLAIM.csv,True,QB2811_0_CPloc;QB2811_5_score_gate,True,,P_loc Delta_K bound interface,2974,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:57:02.880026+00:00
SRC2974_17_2812_roll,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\beta-source\docs\CPLOC_CCOMM_QDELTAK_BOUND_2812_NONCLAIM.csv,True,QBR2812_0_operator_zero_branch;QBR2812_3_score_gate,True,,C_Ploc/C_comm roll-forward bound,2974,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:57:02.880026+00:00
