branch_id,source_id,source_key,source_path,exists,needles,needles_present,missing_needles,role
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1827_0_1826_next,1826_next_target,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1826_NEXT_TARGET.csv,True,NEXT1826_0_primary;selected,True,,1826 selects Palatini/Regge field match or finite c2 scalaron map.
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1827_1_1826_validation,1826_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_1826_VALIDATION.csv,True,VAL1826_OVERALL;PASS,True,,confirms 1826 passed as a nonclaim checkpoint.
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1827_2_1826_contract,1826_palatini_regge_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1826_PALATINI_REGGE_OWNER_CONTRACT.csv,True,PRC1826_6_total;CONTRACT_WRITTEN_NOT_SIGNED,True,,field/action/variation owner contract is written but unsigned.
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1827_3_1826_c2_fallback,1826_trace_norm_c2_prior,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1826_TRACE_NORM_C2_PRIOR_ROWS.csv,True,TNF1826_5_total;C2_PRIOR_CONTRACT_READY_NONCLAIM,True,,trace/norm c2 branch remains the explicit fallback.
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1827_4_511_fixed_point,511_local_GR_fixed_point_ansatz,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\511-minimal-parent-action-local-GR-fixed-point-ansatz.md,True,A511_0_EH_core;MTS_symbol_mapping_now_required,True,,EH fixed-point action blocks exist as an ansatz; MTS symbol matching is required.
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1827_5_512_symbol_map,512_symbol_to_action_blocks,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\512-match-MTS-symbols-to-local-GR-action-blocks.md,True,g_obs / g_readout;no_symbol_fully_promotes_local_GR,True,,MTS symbols are placed against action blocks but none promote local GR.
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1827_6_538_euler_ward,538_euler_ward,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\538-Y5-minimal-parent-action-Euler-Ward-test-or-closure-demotion.md,True,EW538_4_PiM_Hilbert_identification;not local GR,True,,Euler/Ward chain is conditional; Pi_M/Hilbert identification blocks local GR.
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1827_7_1561_ansatz,1561_minimal_action_ansatz,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1561-Y5-minimal-parent-weak-field-action-ansatz-and-Euler-Ward-PPN-gate.md,True,ADOPT1561_2_MTS_matching;MISSING_SYMBOL_MATCH,True,,minimal EH ansatz is not adopted because symbol matching and source/boundary locks are missing.
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1827_8_1541_qmap,1541_observed_coframe_candidate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1541-Y5-quotient-map-vertical-generator-kernel-certificate.md,True,QMAP1541_1_observed_coframe;CONDITIONAL_PRIOR_CONTRACT,True,,observed coframe/g_obs candidate exists but is only conditional.
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1827_9_1542_q_definition,1542_visible_quotient_candidate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1542-Y5-q-definition-or-Dqvm-coupling-coefficient-source-pack.md,True,"q_loc(Phi)=(e_obs,g_obs,omega_obs,theta_vis,Pi_M J_H;CANDIDATE_ONLY",True,,"visible quotient candidate includes e_obs, g_obs, omega_obs, theta, and Pi_M J_H but is not proved."
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1827_10_463_R2FR,463_R2FR_operator_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\463-EH-only-or-R11-executable-vector-gate.md,True,R2_fR_scalar_mode;c_R2/c_fR,True,,"finite R2/fR scalar-mode row requires coefficient, scalar mass/coupling, and local maps."
