source_id,source_path,anchors,role,path_exists,anchors_found,missing_anchors,control_only,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
SRC2861_0_2860_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2860-Y5-R2FR-finite-source-row-acquisition-after-Uamp-demotion-under-AX1090.md,NEXT2860_0_2861;VAL2860_OVERALL,2860 handoff,True,True,,True,False,False,False,False,2026-06-24T13:17:03.872823+00:00
SRC2861_1_2860_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2860_NEXT_TARGET.csv,NEXT2860_0_2861,2861 selected,True,True,,True,False,False,False,False,2026-06-24T13:17:03.873493+00:00
SRC2861_2_2860_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_2860_VALIDATION.csv,VAL2860_OVERALL,2860 validation,True,True,,True,False,False,False,False,2026-06-24T13:17:03.874076+00:00
SRC2861_3_2860_acquisition,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2860_FINITE_SOURCE_ACQUISITION_PACK.csv,ACQ2860_0_Q_CAB;ACQ2860_2_sigma_R,first-row acquisition pack,True,True,,True,False,False,False,False,2026-06-24T13:17:03.874655+00:00
SRC2861_4_2860_template,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2860_STRICT_RUNNER_IMPORT_TEMPLATE_NONCLAIM.csv,CAND2860_0_finite_source_import_template_nonclaim;MISSING_Q_CAB,strict template,True,True,,True,False,False,False,False,2026-06-24T13:17:03.875187+00:00
SRC2861_5_2860_preflight,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2860_STRICT_IMPORT_PREFLIGHT.csv,PF2860_OVERALL;REFUSED_MISSING_PROVENANCE_OR_INPUTS,preflight refusal,True,True,,True,False,False,False,False,2026-06-24T13:17:03.876175+00:00
SRC2861_6_2853_runner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2853_STRICT_RUNNER_RESULTS.csv,REFUSED_MISSING_PROVENANCE_OR_INPUTS,strict runner refusal,True,True,,True,False,False,False,False,2026-06-24T13:17:03.877277+00:00
SRC2861_7_2855_equations,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2855_PARENT_SOURCE_EQUATION_DRAFT.csv,PEQ2855_0_CAB_source;PEQ2855_2_sigma_sign,draft source equations,True,True,,True,False,False,False,False,2026-06-24T13:17:03.878459+00:00
SRC2861_8_2855_status,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2855_DERIVATION_STATUS_MATRIX.csv,STAT2855_0_CAB_source;STAT2855_2_sigma_sign,draft source status,True,True,,True,False,False,False,False,2026-06-24T13:17:03.879651+00:00
SRC2861_9_2839_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2839-Y5-R2FR-finite-RAB-residual-green-kernel-normalization-or-first-source-backed-row-under-AX1090.md,KER2839_4_compact_body;ZOS2839_4_first_source_row,Green-kernel q_R_eff grammar,True,True,,True,False,False,False,False,2026-06-24T13:17:03.880670+00:00
SRC2861_10_2840_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2840-Y5-R2FR-first-finite-RAB-normalization-pack-or-parent-zero-certificate-under-AX1090.md,FILL2840_0_first_RAB_finite_pack;PACK2840_1_amplitude,normalization pack checkpoint,True,True,,True,False,False,False,False,2026-06-24T13:17:03.881444+00:00
