source_id,source_path,exists,needle_count,missing_needles,status,valid_for_claim,generated_utc
1895_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1895-Y5-R2FR-no-source-prefactor-object-language-proof-or-parent-material-tensor-basis.md,True,2,,EXISTS_NEEDLES_CONFIRMED,False,2026-06-19T18:21:44.734922+00:00
1895_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_1895_VALIDATION.csv,True,1,,EXISTS_NEEDLES_CONFIRMED,False,2026-06-19T18:21:44.734922+00:00
1895_attempt,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1895_NO_SOURCE_PREFACTOR_OBJECT_LANGUAGE_ATTEMPT.csv,True,2,,EXISTS_NEEDLES_CONFIRMED,False,2026-06-19T18:21:44.734922+00:00
1895_typing_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1895_SOURCE_PREFACTOR_TYPING_GATE.csv,True,2,,EXISTS_NEEDLES_CONFIRMED,False,2026-06-19T18:21:44.734922+00:00
1895_material_basis,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1895_PARENT_MATERIAL_TENSOR_BASIS_NONCLAIM.csv,True,2,,EXISTS_NEEDLES_CONFIRMED,False,2026-06-19T18:21:44.734922+00:00
1895_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1895_NEXT_TARGET.csv,True,2,,EXISTS_NEEDLES_CONFIRMED,False,2026-06-19T18:21:44.734922+00:00
1114_no_hidden_visible,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1114_NO_HIDDEN_VISIBLE_MORPHISM_THEOREM_ATTEMPT.csv,True,2,,EXISTS_NEEDLES_CONFIRMED,False,2026-06-19T18:21:44.734922+00:00
1107_exhaustion,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1107_OBJECT_LANGUAGE_EXHAUSTION_ATTEMPT.csv,True,2,,EXISTS_NEEDLES_CONFIRMED,False,2026-06-19T18:21:44.734922+00:00
1066_typing,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1066_OBJECT_LANGUAGE_TYPING_AUDIT.csv,True,2,,EXISTS_NEEDLES_CONFIRMED,False,2026-06-19T18:21:44.734922+00:00
1078_object_proof,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1078_OBJECT_LANGUAGE_PROOF_ATTEMPT.csv,True,2,,EXISTS_NEEDLES_CONFIRMED,False,2026-06-19T18:21:44.734922+00:00
1092_triviality,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1092_HIDDEN_INVARIANT_TRIVIALITY_ATTEMPT.csv,True,2,,EXISTS_NEEDLES_CONFIRMED,False,2026-06-19T18:21:44.734922+00:00
1051_scalar_obstruction,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1051_INVARIANT_SCALAR_OBSTRUCTION_AUDIT.csv,True,2,,EXISTS_NEEDLES_CONFIRMED,False,2026-06-19T18:21:44.734922+00:00
1676_no_marker,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1676_OBJECT_LANGUAGE_NO_MARKER_THEOREM_ATTEMPT.csv,True,2,,EXISTS_NEEDLES_CONFIRMED,False,2026-06-19T18:21:44.734922+00:00
1338_ol_theorem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1338_OBJECT_LANGUAGE_THEOREM_ATTEMPT.csv,True,2,,EXISTS_NEEDLES_CONFIRMED,False,2026-06-19T18:21:44.734922+00:00
1888_finite,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1888_FINITE_DELTAW_VECTOR_ROW_INTAKE.csv,True,2,,EXISTS_NEEDLES_CONFIRMED,False,2026-06-19T18:21:44.734922+00:00
1889_basis,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1889_REAL_DELTAW_COMPONENT_BASIS_ACQUISITION.csv,True,2,,EXISTS_NEEDLES_CONFIRMED,False,2026-06-19T18:21:44.734922+00:00
1891_coeff,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1891_DELTAW_SPECIES_COEFFICIENT_ROW_NONCLAIM.csv,True,2,,EXISTS_NEEDLES_CONFIRMED,False,2026-06-19T18:21:44.734922+00:00
