source_id,source_kind,source_locator,member,needle,source_exists,needle_found,role,source_validated,valid_for_claim,timestamp_utc
SRC4871_00_prior_checkpoint,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4870-Y5-R2FR-v4-stationary-mass-identity-and-finite-compactness-parent-kappa4-or-v3-tail-crosscheck.md,,V4_STATIONARY_MASS_IDENTITY_4870,True,True,stationary-mass parent result,True,False,2026-07-10T17:05:00+01:00
SRC4871_01_prior_formal,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\886-PPC4161-v4-stationary-mass-and-finite-C-parent-response.md,,PPC4161_V4_STATIONARY_MASS_4870,True,True,prior formal integration,True,False,2026-07-10T17:05:00+01:00
SRC4871_02_prior_validation,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_4870_VALIDATION.csv,,VAL4870_OVERALL,True,True,prior validation,True,False,2026-07-10T17:05:00+01:00
SRC4871_03_checkpoint,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4871-Y5-R2FR-v3-l1-asymptotic-kappa4-crosscheck-and-full-first-order-C3-arbitration.md,,V3_L1_SURFACE_KAPPA4_AND_C3_ARBITRATION_4871,True,True,human derivation,True,False,2026-07-10T17:05:00+01:00
SRC4871_04_formal,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\887-PPC4161-v3-tail-kappa4-and-C3-arbitration.md,,PPC4161_V3_TAIL_KAPPA4_C3_ARBITRATION_4871,True,True,formal integration,True,False,2026-07-10T17:05:00+01:00
SRC4871_05_claim,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\02-claims-register.csv,,L-713,True,True,claim register,True,False,2026-07-10T17:05:00+01:00
SRC4871_06_q3_variable,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\04-variable-audit.csv,,derived_finite_C_parent_profile_asymptotic_kappa4_crosscheck_nonclaim,True,True,q3 variable,True,False,2026-07-10T17:05:00+01:00
SRC4871_07_kappa_variable,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\04-variable-audit.csv,,finite_C_parent_response_derived_v3_surface_crosschecked_binary_safe_primitive_ownership_open_nonclaim,True,True,kappa variable,True,False,2026-07-10T17:05:00+01:00
SRC4871_08_s_variable,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\04-variable-audit.csv,,finite_C_parent_correspondence_response_derived_C3_internal_selected_external_source_discrepancy_nonclaim,True,True,first-response variable,True,False,2026-07-10T17:05:00+01:00
SRC4871_09_equation,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\05-equation-register.md,,1.164 Third-order dipole equation,True,True,equation register,True,False,2026-07-10T17:05:00+01:00
