candidate_id,role,path,path_exists,has_residual_identity,has_action_birth_shape,has_parent_owner,has_readout_lock,has_boundary_silence,has_blocker_terms,matched_residual_terms,matched_double_divergence_terms,matched_action_terms,matched_owner_terms,matched_boundary_terms,matched_blockers,certificate_pass,valid_for_claim,claim_allowed,status
CAND4388_00_4387_formal,current owner-shape checkpoint,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\403-PPC4161-transition-double-divergence-improvement-parent-owner-or-boundary-row.md,True,True,True,True,True,True,True,rho_top-rho_H;topological/Hilbert residual,partial_i partial_j;nabla_alpha nabla_beta;S^{ij};U^{0i0j};U^{mu alpha nu beta},dB_impr;Hilbert/Noether improvement,parent-owned;parent owner;parent action;birth certificate;birth-certify,boundary;no-flux;boundary_silent;affine boundary;boundary pairings;zero pairings,MISSING;not sufficient;fails;FAILS;BIRTH_CERTIFICATE_FAILS;unsigned;nonclaim;do_not_claim,False,False,False,CANDIDATE_SHAPE_PRESENT_BUT_BLOCKED
CAND4388_01_4386_formal,double-divergence mechanism,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\402-PPC4161-transition-affine-annihilator-parent-signature-or-real-profile-row.md,True,True,False,True,True,True,True,rho_top-rho_H;topological/Hilbert residual,partial_i partial_j;S^{ij},,parent-owned;parent owner;parent action;birth certificate;birth-certify,boundary;no-flux;affine boundary;boundary pairings,MISSING;NOT_SIGNED;fails;FAILS;unsigned;nonclaim,False,False,False,PARTIAL_CANDIDATE_INSUFFICIENT
CAND4388_02_185_Hsrc,source action dB_impr slot,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\185-PPC4161-Hilbert-source-measure-descent-and-delta-ZH-closure.md,True,False,True,False,False,True,True,,,dB_impr,,boundary,nonclaim,False,False,False,PARTIAL_CANDIDATE_INSUFFICIENT
CAND4388_03_226_visible,visible matter import dB_impr slot,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\226-PPC4161-standard-visible-matter-import-contract.md,True,False,True,False,False,False,True,,,dB_impr,,,nonclaim,False,False,False,PARTIAL_CANDIDATE_INSUFFICIENT
CAND4388_04_2220_birth,trace-free improvement birth certificate attempt,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2220_TRACEFREE_IMPROVEMENT_BIRTH_CERTIFICATE.csv,True,False,True,True,False,True,True,,,improvement action;phi R,parent owner;parent action;parent-adopted;birth certificate,boundary;no-flux,MISSING;fails;FAILS;BIRTH_CERTIFICATE_FAILS;blocked;unsigned;nonclaim,False,False,False,PARTIAL_CANDIDATE_INSUFFICIENT
CAND4388_05_299_superpotential,generic superpotential guard,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\299-PPC4161-transition-boundary-topological-superpotential-or-shell-profile-runner.md,True,False,False,False,False,True,True,,,,,boundary;no-flux,fails;FAILS;blocked;nonclaim,False,False,False,PARTIAL_CANDIDATE_INSUFFICIENT
CAND4388_06_192_noflux,support-separated no-flux theorem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\192-PPC4161-local-boundary-no-flux-sector-interface-theorem.md,True,False,False,False,False,True,True,,,,,boundary;no-flux,fails;FAILS,False,False,False,PARTIAL_CANDIDATE_INSUFFICIENT
CAND4388_07_191_EM,visible EM/Poynting Hilbert owner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\191-PPC4161-Maxwell-Hodge-Poynting-stress-owner-theorem.md,True,False,False,False,False,True,False,,,,,boundary;no-flux,,False,False,False,PARTIAL_CANDIDATE_INSUFFICIENT
CAND4388_08_143_boundary,boundary/topological backup guard,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\143-boundary-topological-backup-gate.md,True,False,False,False,False,True,True,,,,,boundary,fails;FAILS,False,False,False,PARTIAL_CANDIDATE_INSUFFICIENT
CAND4388_09_355_nonHilbert,non-Hilbert superpotential route,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\355-PPC4161-PnonHilbert-and-worldtube-transition-leak-zero-proof-or-bound-runner.md,True,False,False,True,False,True,True,,,S_U,parent action,boundary,MISSING;unsigned;nonclaim,False,False,False,PARTIAL_CANDIDATE_INSUFFICIENT
CAND4388_10_GK_action,Gamma/Khat exact sector candidates,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_GK_STRESS_ACTION_CANDIDATES.csv,True,False,False,False,False,True,True,,,,,boundary,fails;FAILS,False,False,False,PARTIAL_CANDIDATE_INSUFFICIENT
CAND4388_11_GK_repair,metric response exact/improvement repair options,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_GK_METRIC_RESPONSE_REPAIR_OPTIONS.csv,True,False,False,False,False,True,True,,,,,boundary;no-flux,MISSING,False,False,False,PARTIAL_CANDIDATE_INSUFFICIENT
CAND4388_12_Gamma_owner,Gamma owner candidate action rows,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_GAMMA_OWNER_CANDIDATE_ACTION.csv,True,False,False,False,False,True,True,,,,,boundary,fails;FAILS,False,False,False,PARTIAL_CANDIDATE_INSUFFICIENT
CAND4388_13_affine2608,older affine source obstruction,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_AFFINE_SOURCE_GATE_2608_SOURCE_ZERO_STATUS.csv,True,False,False,False,False,True,True,,,,,boundary,MISSING;blocked;unsigned;nonclaim,False,False,False,PARTIAL_CANDIDATE_INSUFFICIENT
CAND4388_14_topHilbertObs,topological/Hilbert obstruction ledger,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_TOPOLOGICAL_HILBERT_EQUALITY_OBSTRUCTIONS.csv,True,False,False,False,True,True,False,,,,,boundary,,False,False,False,PARTIAL_CANDIDATE_INSUFFICIENT
CAND4388_15_4387_birth,latest birth certificate audit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4387_BIRTH_CERTIFICATE.csv,True,True,True,True,True,True,True,rho_top-rho_H,nabla_alpha nabla_beta;S^{ij};U^{mu alpha nu beta},dB_impr,parent-owned;birth certificate,boundary;no-flux;affine boundary;boundary pairings,MISSING;fails;FAILS;BIRTH_CERTIFICATE_FAILS;unsigned;do_not_claim,False,False,False,CANDIDATE_SHAPE_PRESENT_BUT_BLOCKED
