checkpoint,source_id,path,path_exists,needle,needle_found,role,generated_utc,valid_for_claim
4589,SRC4589_00_4588_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4588-Y5-R2FR-regular-source-support-boundary-zero-or-Reynolds-shell-bound.md,True,4589-Y5-R2FR-MHref-source-blind-reference-and-Htau-normalization-zero-or-bound.md,True,4588 selected MHref target,2026-07-06T13:08:57.465298+00:00,False
4589,SRC4589_01_4588_reduction,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4588_SOURCE_KERNEL_REDUCTION_UPDATE.csv,True,RSR4588_3_next_MHref,True,4588 next denominator reduction,2026-07-06T13:08:57.465298+00:00,False
4589,SRC4589_02_3560_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3560-Y5-R2FR-source-support-qbasic-worldtube-descent-or-bound-vector.md,True,SCL3560_3_MHref_qbasic,True,3560 MHref q-basic clause,2026-07-06T13:08:57.465298+00:00,False
4589,SRC4589_03_3560_bound,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3560_BOUND_VECTOR.csv,True,BF3560_4_E_Href,True,3560 Href leakage bound row,2026-07-06T13:08:57.465298+00:00,False
4589,SRC4589_04_3551_theorem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3551_MHREF_DESCENT_THEOREM.csv,True,MHD3551_1_sum_difference_descent,True,3551 MHref descent theorem,2026-07-06T13:08:57.465298+00:00,False
4589,SRC4589_05_3551_leak,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3551_MHREF_LEAKAGE_BOUND_PACK.csv,True,LB3551_3_normalized_mass_leak,True,3551 normalized mass leak bound,2026-07-06T13:08:57.465298+00:00,False
4589,SRC4589_06_186_glue,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\186-PPC4161-Hamiltonian-worldtube-mass-readout-glue.md,True,M_H^dress[W_H;tau] = H_tau[S_link] - H_ref,True,Hamiltonian worldtube mass glue,2026-07-06T13:08:57.465298+00:00,False
4589,SRC4589_07_194_calibration,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\194-PPC4161-calibrated-source-coupling-kappa-to-GN-law.md,True,No orbital `GM`,True,calibrated source-coupling anti-circularity,2026-07-06T13:08:57.465298+00:00,False
4589,SRC4589_08_236_positive,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\236-PPC4161-MHref-positive-source-denominator-stability-or-bound-pack.md,True,M_H_ref >= M_EH,True,positive denominator stability law,2026-07-06T13:08:57.465298+00:00,False
4589,SRC4589_09_4170_identity,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4170_SAME_OBJECT_IDENTITY.csv,True,SO4170_1_identity,True,same-object Hamiltonian identity,2026-07-06T13:08:57.465298+00:00,False
4589,SRC4589_10_claim_430,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\02-claims-register.csv,True,L-430,True,prior claim register handoff,2026-07-06T13:08:57.465298+00:00,False
