timestamp_utc,branch_id,checkpoint_id,valid_for_claim,claim_allowed,acquisition_id,coefficient,required_input,source_needed,arena,current_value,current_units,source_path,status,score_ready,valid_prediction_row
2026-06-21T04:47:26.757364+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2214,False,False,ACQ2214_0_M,G_alg/M_AB,"M_AB rank, sign, units, eigenbasis, null projector",parent quadratic action; quotient basis,all arenas,MISSING_PARENT_INPUT,MISSING_UNITS,MISSING_SOURCE_PATH,VALID_FOR_CLAIM_FALSE_PENDING_SOURCE,False,False
2026-06-21T04:47:26.757381+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2214,False,False,ACQ2214_1_J,J_A,"matter descent, theta silence, direct vertex list, matter boundary term",parent matter functor and current-owner theorem,Newton;WEP;R10;clock;EM,MISSING_PARENT_INPUT,MISSING_UNITS,MISSING_SOURCE_PATH,VALID_FOR_CLAIM_FALSE_PENDING_SOURCE,False,False
2026-06-21T04:47:26.757400+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2214,False,False,ACQ2214_2_B,B_A,proper/worldtube/corner/reference/projector coefficients,boundary primitive and source-worldtube ledger,R10;WEP;orbital,MISSING_PARENT_INPUT,MISSING_UNITS,MISSING_SOURCE_PATH,VALID_FOR_CLAIM_FALSE_PENDING_SOURCE,False,False
2026-06-21T04:47:26.757409+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2214,False,False,ACQ2214_3_CDB,C_A^CDB,K_conn/K_domain/K_boundary/K_comm source split and derivative order,CDB principal-symbol extraction,PPN;R10;orbital;R11,MISSING_PARENT_INPUT,MISSING_UNITS,MISSING_SOURCE_PATH,VALID_FOR_CLAIM_FALSE_PENDING_SOURCE,False,False
2026-06-21T04:47:26.757415+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2214,False,False,ACQ2214_4_Rsrc,R_A^src/readout/projector,"source weights, markers, hidden frames, clock/EM readouts",1045/1229/1023 parent signatures,Newton;WEP;clock;EM,MISSING_PARENT_INPUT,MISSING_UNITS,MISSING_SOURCE_PATH,VALID_FOR_CLAIM_FALSE_PENDING_SOURCE,False,False
2026-06-21T04:47:26.757425+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2214,False,False,ACQ2214_5_EDqZ,E_DqZ^I,LEAK1675 projection coefficients and units,Dq_Z leak vector plus arena maps,PPN;R10;WEP;clock;EM;orbital;R11,MISSING_PARENT_INPUT,MISSING_UNITS,MISSING_SOURCE_PATH,VALID_FOR_CLAIM_FALSE_PENDING_SOURCE,False,False
2026-06-21T04:47:26.757433+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2214,False,False,ACQ2214_6_LNewton,"L_GM,A",Newton/source-normalized GM projection,weak-field/source normalization derivation,Newton,MISSING_PARENT_INPUT,MISSING_UNITS,MISSING_SOURCE_PATH,VALID_FOR_CLAIM_FALSE_PENDING_SOURCE,False,False
2026-06-21T04:47:26.757446+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2214,False,False,ACQ2214_7_LPPN,"L_PPN,A^I",PPN projection vector,linearized weak-field metric solution,PPN,MISSING_PARENT_INPUT,MISSING_UNITS,MISSING_SOURCE_PATH,VALID_FOR_CLAIM_FALSE_PENDING_SOURCE,False,False
2026-06-21T04:47:26.757461+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2214,False,False,ACQ2214_8_LR10,"L_R10,A",strict contact projection or CDB range-owner projection,R10 force/contact map and CDB range decision,R10,MISSING_PARENT_INPUT,MISSING_UNITS,MISSING_SOURCE_PATH,VALID_FOR_CLAIM_FALSE_PENDING_SOURCE,False,False
2026-06-21T04:47:26.757476+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2214,False,False,ACQ2214_9_LWEP,"L_WEP,A",composition projection,species/source material map,WEP,MISSING_PARENT_INPUT,MISSING_UNITS,MISSING_SOURCE_PATH,VALID_FOR_CLAIM_FALSE_PENDING_SOURCE,False,False
2026-06-21T04:47:26.757492+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2214,False,False,ACQ2214_10_LClockEM,"L_clock/EM,A",clock and fine-structure projection,constants/readout map,clock;EM,MISSING_PARENT_INPUT,MISSING_UNITS,MISSING_SOURCE_PATH,VALID_FOR_CLAIM_FALSE_PENDING_SOURCE,False,False
2026-06-21T04:47:26.757507+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2214,False,False,ACQ2214_11_LOrbital,"L_orb,A^I",orbital observable projection,weak-field compact source and ephemeris map,orbital,MISSING_PARENT_INPUT,MISSING_UNITS,MISSING_SOURCE_PATH,VALID_FOR_CLAIM_FALSE_PENDING_SOURCE,False,False
2026-06-21T04:47:26.757522+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2214,False,False,ACQ2214_12_LR11,"L_R11,A^I",non-EH operator projection,R11 operator basis and EFT units,R11,MISSING_PARENT_INPUT,MISSING_UNITS,MISSING_SOURCE_PATH,VALID_FOR_CLAIM_FALSE_PENDING_SOURCE,False,False
