timestamp_utc,branch_id,valid_for_claim,claim_allowed,source_id,source_kind,source_path,path_exists,needles,needle_found,use_in_2100
2026-06-20T16:54:21.804122+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2100_00_2099_handoff,2100_PWEP_response_operator_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2099-Y5-R2FR-DeltaGamma-component-map-to-P4-WEP-PPN-clock-orbital-residuals.md,True,NEXT2099_0_2100; P_WEP_FROM_MATTER_FUNCTOR_NEXT; VAL2099_OVERALL,True,2099 selects P_WEP from the matter functor as the first response operator.
2026-06-20T16:54:21.804522+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2100_01_1837_PWEP,2100_PWEP_response_operator_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1837-Y5-R2FR-PWEP-response-operator-from-matter-functor-or-component-bound-row.md,True,PWD1837_1_conditional_zero_theorem; PWEP_NOT_DERIVED_CURRENT_CORPUS; VAL1837_OVERALL,True,1837 gives the exact conditional P_WEP=0 theorem and refuses the current claim.
2026-06-20T16:54:21.804882+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2100_02_1838_matter_signature,2100_PWEP_response_operator_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1838-Y5-R2FR-ordinary-matter-action-signature-source-label-forgetting-or-WEP-bound-first-fill.md,True,ORDINARY_MATTER_SIGNATURE_NOT_PARENT_SIGNED; FWCB1838_0_delta_w_TiPt; VAL1838_OVERALL,True,1838 tests ordinary-matter signature/source-label forgetting and stages first WEP input rows.
2026-06-20T16:54:21.805221+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2100_03_1839_tau_direct,2100_PWEP_response_operator_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1839_TAUWEP_DIRECT_PRODUCT_SOURCE_ROW.csv,True,TDP1839_0_tau_WEP; TDP1839_2_direct_product; REFUSAL_ACTIVE,True,1839 stages tau_WEP/direct-product acquisition rows as nonclaim.
2026-06-20T16:54:21.805559+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2100_04_1839_decision_doc,2100_PWEP_response_operator_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1839-Y5-R2FR-source-shadow-ban-or-tauWEP-direct-product-first-source-row.md,True,SOURCE_SHADOW_CLASSIFIED_NOT_ZEROED; TAUWEP_DIRECT_PRODUCT_FIRST_SOURCE_ROW_STAGED_NONCLAIM; VAL1839_OVERALL,True,1839 classifies source shadow and routes the serious GR/Newton work back to EH/operator residuals.
2026-06-20T16:54:21.805933+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2100_05_1840_operator_pack,2100_PWEP_response_operator_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1840_OPERATOR_COEFFICIENT_PACK.csv,True,OPC1840_0_total_DeltaE; OPC1840_6_source_normalization; MISSING_ZERO_THEOREM_OR_BOUNDED_COEFFICIENTS,True,1840 carries the left-hand non-Einstein operator residual pack.
2026-06-20T16:54:21.806239+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2100_06_1841_sector_decision,2100_PWEP_response_operator_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1841_DECISION_LEDGER.csv,True,NO_NON_EH_SECTOR_FULLY_SILENCED; SECTOR_LAGRANGIAN_BOUNDARY_OWNER_OR_FB5540_SOURCE_ROW_IS_NEXT,True,1841 says no non-EH sector is fully silenced and selects sector Lagrangian/boundary owner next.
2026-06-20T16:54:21.806554+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2100_07_1837_WEP_bounds,2100_PWEP_response_operator_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1837_WEP_COMPONENT_BOUND_ROWS.csv,True,WCB1837_0_spin; WCB1837_5_total_guard; TOTAL_SCORE_REFUSED,True,1837 component-bound rows are the WEP fallback ledger.
2026-06-20T16:54:21.806867+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2100_08_1838_first_input,2100_PWEP_response_operator_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1838_FIRST_WEP_COMPONENT_BOUND_INPUT.csv,True,FWCB1838_0_delta_w_TiPt; FWCB1838_4_refusal_guard; MISSING_TAU_WEP,True,1838 first WEP material/source input row records Delta_w/tau/direct-product requirements.
2026-06-20T16:54:21.807196+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2100_09_MICROSCOPE_anchor,2100_PWEP_response_operator_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1069_MICROSCOPE_PROVENANCE_LEDGER.csv,True,PROV1069_1_R0_direct_geometry; PhysRevLett.129.121102,True,MICROSCOPE Ti/Pt bound anchor exists but is comparator-only for MTS rows.
