source_id,source_path,anchor,role,path_exists,anchor_found,valid_for_claim,claim_allowed
SRC1405_0_1404_doc,1404-Y5-R10-RAB-WEP-composition-binding-normalization-or-material-prior-map.md,NEXT1404_0_1405,prior checkpoint selecting parent WEP material response current as next target,True,True,False,False
SRC1405_1_1404_audit,source-intake/mts_residuals/P8_Y5_R10_1404_COMPOSITION_BINDING_NORMALIZATION_AUDIT.csv,CBN1404_2_parent_coefficients,declares parent material coefficients missing,True,True,False,False
SRC1405_2_1404_material,source-intake/mts_residuals/P8_Y5_R10_1404_MATERIAL_PRIOR_MAP.csv,MPM1404_7_parent_coefficient_vector,imports missing P_WEP^I vector state,True,True,False,False
SRC1405_3_1404_pressure,source-intake/mts_residuals/P8_Y5_R10_1404_WEP_VECTOR_PRESSURE_GATE.csv,VPG1404_2_vector_inequality,imports full WEP vector inequality gate,True,True,False,False
SRC1405_4_1404_cancel,source-intake/mts_residuals/P8_Y5_R10_1404_ONE_PAIR_CANCELLATION_GUARD.csv,OCG1404_0_pair_line,imports one-pair cancellation prohibition,True,True,False,False
SRC1405_5_1394_composition,source-intake/mts_residuals/P8_Y5_R10_1394_BULK_MATERIAL_COMPOSITION_MAP.csv,MCM1394_6_composition_verdict,source/test sector-fraction decomposition,True,True,False,False
SRC1405_6_1394_inheritance,source-intake/mts_residuals/P8_Y5_R10_1394_BINDING_INHERITANCE_PROOF_ATTEMPT.csv,BIH1394_5_current_verdict,binding inheritance not closed,True,True,False,False
SRC1405_7_1394_interface,source-intake/mts_residuals/P8_Y5_R10_1394_BINDING_TO_BETA_INTERFACE_GATE.csv,BTB1394_4_verdict,binding rows must close before scoring,True,True,False,False
SRC1405_8_1395_sector_pack,source-intake/mts_residuals/P8_Y5_R10_1395_BINDING_SECTOR_BETA_SOURCE_PACK.csv,SBP1395_5_pack_verdict,sector beta source pack remains unfilled,True,True,False,False
SRC1405_9_1079_tensor_contract,source-intake/mts_residuals/P8_Y5_R10_1079_MATERIAL_TENSOR_CONTRACT.csv,MTC1079_0_basis,basis contract for response current,True,True,False,False
SRC1405_10_1081_basis_attempt,source-intake/mts_residuals/P8_Y5_R10_1081_PARENT_WEP_BASIS_DERIVATION_ATTEMPT.csv,PB1081_4_verdict,prior parent basis derivation failed,True,True,False,False
SRC1405_11_1068_requirements,source-intake/mts_residuals/P8_Y5_R10_1068_MATERIAL_RESPONSE_REQUIREMENTS.csv,MAT1068_2_full_tensor,full material tensor still missing,True,True,False,False
SRC1405_12_1402_isolation,source-intake/mts_residuals/P8_Y5_R10_1402_ARENA_ISOLATION_LEDGER.csv,ISO1402_1_WEP,blocks transfer from WEP to other local arenas,True,True,False,False
SRC1405_13_this_script,scripts/Y5_R10_RAB_parent_WEP_material_response_current_or_vector_prior_bound.py,STATUS,generator for this checkpoint,True,True,False,False
