source_id,path,exists,needle_check,role,valid_for_claim,generated_utc
879_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\879-Y5-R10-parent-trace-covector-and-pairing-source-or-closure.md,true,pass,"immediate handoff: missing trace charge, charge unit, and pairing",false,2026-06-13T12:06:58.911589+00:00
879_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_879_VALIDATION.csv,true,pass,prior checkpoint validation,false,2026-06-13T12:06:58.911589+00:00
878_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\878-Y5-R10-Ptr-parent-projector-definition-and-constraint-rank-test.md,true,pass,P_tr covector/pairing construction,false,2026-06-13T12:06:58.911589+00:00
876_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\876-Y5-R10-trace-sector-ZT-lambdaT-parent-input-or-zero-return.md,true,pass,trace Hessian/Z_T/lambda_T contract,false,2026-06-13T12:06:58.911589+00:00
875_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\875-Y5-R10-cT-coefficient-fill-minimal-runner-and-claim-gate.md,true,pass,retained c_T coefficient gate,false,2026-06-13T12:06:58.911589+00:00
875_ct_input_schema,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_875_CT_INPUT_SCHEMA.csv,true,pass,existing c_T coefficient/source-input schema,false,2026-06-13T12:06:58.911589+00:00
874_ct_fill_ledger,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_874_CT_COEFFICIENT_FILL_LEDGER.csv,true,pass,existing missing coefficient ledger,false,2026-06-13T12:06:58.911589+00:00
870_nohair,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\870-Y5-R10-P_loc-Jtrace-nohair-zero-theorem-or-bound.md,true,pass,local no-hair/source-silence blocker,false,2026-06-13T12:06:58.911589+00:00
864_split,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\864-Y5-R10-local-global-quotient-split-and-endpoint-stationarity-parent-clause.md,true,pass,local/global quotient split condition,false,2026-06-13T12:06:58.911589+00:00
862_trace_lift,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\862-Y5-R10-trace-lift-endpoint-equation-and-coframe-pullback-closure.md,true,pass,trace-lift endpoint algebra,false,2026-06-13T12:06:58.911589+00:00
111_variational_owner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\111-endpoint-quadratic-variational-owner-attempt.md,true,pass,formal endpoint potential/pairing predecessor,false,2026-06-13T12:06:58.911589+00:00
110_endpoint_equation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\110-endpoint-charge-equation-attempt.md,true,pass,endpoint polynomial target,false,2026-06-13T12:06:58.911589+00:00
109_boundary_charge,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\109-boundary-charge-two-ninth-theorem-attempt.md,true,pass,Q_* and endpoint split blocker,false,2026-06-13T12:06:58.911589+00:00
10_symplectic,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\10-observer-map-symplectic-contract.md,true,pass,"symplectic pairing context, not sufficient as trace K_parent",false,2026-06-13T12:06:58.911589+00:00
97_canonical_R,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\97-canonical-R-theorem-attempt.md,true,pass,canonical R/Q_* theorem blocker,false,2026-06-13T12:06:58.911589+00:00
338_readout_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\338-action-level-exact-readout-gate.md,true,pass,readout/source-at-zero legality,false,2026-06-13T12:06:58.911589+00:00
