timestamp_utc,branch_id,checkpoint_id,source_id,source_path,exists,missing_needles,source_pass,role,valid_for_claim
2026-06-22T21:20:53.816971+00:00,MTS_R2FR_CURRENT_DESCENT_REBASE_2602,2602,SRC2602_00_2601_handoff,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2601-Y5-R2FR-Tobs-support-annulus-split-or-first-norm-source-row.md,true,,true,current branch handoff selecting current descent through q/Dq and projectable tau,false
2026-06-22T21:20:53.817501+00:00,MTS_R2FR_CURRENT_DESCENT_REBASE_2602,2602,SRC2602_01_1734_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1734-Y5-R2FR-current-descent-lemma-Dq-tau-projectability-or-theta-leak-row.md,true,,true,Dq/tau projectability audit and theta/Q_tau leak rows,false
2026-06-22T21:20:53.817991+00:00,MTS_R2FR_CURRENT_DESCENT_REBASE_2602,2602,SRC2602_02_1734_leak_rows,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1734_THETA_QTAU_LEAK_ROWS.csv,true,,true,projectability leak rows feeding local arenas,false
2026-06-22T21:20:53.818506+00:00,MTS_R2FR_CURRENT_DESCENT_REBASE_2602,2602,SRC2602_03_1735_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1735-Y5-R2FR-Dq-tau-theta-leak-source-pack-units-and-arena-projections.md,true,,true,unit conventions and arena projections for theta/Q_tau leak pack,false
2026-06-22T21:20:53.818999+00:00,MTS_R2FR_CURRENT_DESCENT_REBASE_2602,2602,SRC2602_04_1736_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1736-Y5-R2FR-Dq-tau-commutator-zero-or-first-finite-bound-row.md,true,,true,exact Dq/tau commutator theorem and finite fallback row,false
2026-06-22T21:20:53.819469+00:00,MTS_R2FR_CURRENT_DESCENT_REBASE_2602,2602,SRC2602_05_1736_finite_schema,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1736_FIRST_FINITE_BOUND_ROW_SCHEMA.csv,true,,true,finite E_Dq_tau commutator source-row schema,false
2026-06-22T21:20:53.819966+00:00,MTS_R2FR_CURRENT_DESCENT_REBASE_2602,2602,SRC2602_06_1737_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1737-Y5-R2FR-q-map-Dq-vertical-basis-source-row-or-coframe-functor-zero.md,true,,true,"q-map, Dq matrix and candidate vertical basis source rows",false
2026-06-22T21:20:53.820491+00:00,MTS_R2FR_CURRENT_DESCENT_REBASE_2602,2602,SRC2602_07_1738_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1738-Y5-R2FR-observed-coframe-kernel-zero-or-first-finite-DObs-e-row.md,true,,true,observed coframe kernel theorem and same-coframe countermodel,false
2026-06-22T21:20:53.821036+00:00,MTS_R2FR_CURRENT_DESCENT_REBASE_2602,2602,SRC2602_08_1738_dobs_rows,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1738_FINITE_DOBS_E_SOURCE_ROWS.csv,true,,true,finite observed coframe derivative rows,false
2026-06-22T21:20:53.821564+00:00,MTS_R2FR_CURRENT_DESCENT_REBASE_2602,2602,SRC2602_09_1739_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1739-Y5-R2FR-parent-coframe-ownership-or-common-frame-log-derivative-row.md,true,,true,parent coframe ownership attempt and b_g rows,false
2026-06-22T21:20:53.822042+00:00,MTS_R2FR_CURRENT_DESCENT_REBASE_2602,2602,SRC2602_10_1739_bg_rows,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1739_COMMON_FRAME_LOG_DERIVATIVE_ROWS.csv,true,,true,b_g/common-frame finite residual rows,false
2026-06-22T21:20:53.822526+00:00,MTS_R2FR_CURRENT_DESCENT_REBASE_2602,2602,SRC2602_11_1740_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1740-Y5-R2FR-no-shadow-frame-zero-or-bg-bound-projection-map.md,true,,true,no-shadow-frame zero attempt and b_g bound projection map,false
