source_id,path,exists,role,generated_utc
455_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\455-PiM-flux-closure-Ward-or-topological-current-attempt.md,true,Ward/Killing mass-current route,2026-06-07T14:30:43+00:00
455_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_PiM_flux_closure_Ward_topological_CONTRACT.csv,true,FC1 stationary or Hamiltonian time-generator contract,2026-06-07T14:30:43+00:00
457_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\457-mass-current-Hamiltonian-boundary-charge-attempt.md,true,Hamiltonian boundary charge route,2026-06-07T14:30:43+00:00
457_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_mass_current_Hamiltonian_boundary_charge_CONTRACT.csv,true,HC1 observed time-generator contract,2026-06-07T14:30:43+00:00
484_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\484-parent-local-zero-action-clause-attempt.md,true,conditional local-zero theorem using stationary Killing/comoving branch,2026-06-07T14:30:43+00:00
602_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\602-Y5-R10-bound-domain-selector-or-compact-shell-unit-map-fill.md,true,conditional bound-domain selector and local stationary branch blocker,2026-06-07T14:30:43+00:00
602_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_602_VALIDATION.csv,true,602 validation gate,2026-06-07T14:30:43+00:00
655_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\655-Y5-R10-EH-operator-selection-under-WEP-closure-or-retained-R11-vector.md,true,EH-only exterior selection blocker,2026-06-07T14:30:43+00:00
655_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_655_VALIDATION.csv,true,655 validation gate,2026-06-07T14:30:43+00:00
655_eh_audit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_655_EH_ONLY_PREMISE_AUDIT.csv,true,EH-only premise audit,2026-06-07T14:30:43+00:00
655_decision,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_655_EH_OR_R11_DECISION_GATES.csv,true,EH-or-R11 decision gates,2026-06-07T14:30:43+00:00
684_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\684-Y5-R10-observed-frame-tau-coframe-lock-for-MH-ref.md,true,observed tau/coframe lock predecessor,2026-06-07T14:30:43+00:00
684_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_684_VALIDATION.csv,true,684 validation gate,2026-06-07T14:30:43+00:00
684_frame_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_684_FRAME_LOCK_CONTRACT.csv,true,one-frame/tau contract rows,2026-06-07T14:30:43+00:00
684_tau_audit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_684_TAU_GENERATOR_AUDIT.csv,true,tau role audit rows,2026-06-07T14:30:43+00:00
685_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\685-Y5-R10-tau-generator-Killing-clock-lock-or-frame-residual-fill.md,true,tau generator/Killing-clock predecessor,2026-06-07T14:30:43+00:00
