checkpoint,branch_id,timestamp_utc,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,source_id,source_path,exists,parse_ok,sha256,needles_present,missing_needles,role
3093,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2026-06-25T21:10:46.931140+00:00,False,False,False,False,SRC3093_00_3092_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3092_NEXT_TARGET.csv,True,True,21dc6a60662447d33bab7d68b10d9c84050b702bf37da855ac4336bac05f8dd8,True,,3092 selects parent Xhat owner and Hessian/range extraction.
3093,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2026-06-25T21:10:46.931140+00:00,False,False,False,False,SRC3093_01_3092_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3092-Y5-R2FR-scalar-nohair-input-pack-or-residual-alpha-coefficient-runner-under-AX1090.md,True,True,45ca057679bca2df0cae7cff72248b69cd45cd701388a246d95ee242e025d496,True,,3092 blocks no-hair until the owner/Hessian inputs exist.
3093,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2026-06-25T21:10:46.931140+00:00,False,False,False,False,SRC3093_02_1847_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1847-Y5-R2FR-parent-Xhat-owner-and-Hessian-ZX-MX2-range-or-alpha-source-row.md,True,True,1c2343facf17d3b9d92995186af0633fb0125ea9cc0166dc034d01f9498b2dbb,True,,1847 precedent for the active parent q_loc branch.
3093,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2026-06-25T21:10:46.931140+00:00,False,False,False,False,SRC3093_03_1847_parent_clause,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1847_PARENT_XHAT_ACTION_CLAUSE.csv,True,True,6554cf8596afe603072c62259374c3691658a0a8b3eb63b3f95a5372b0ee2112,True,,1847 parent Xhat action clause failure.
3093,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2026-06-25T21:10:46.931140+00:00,False,False,False,False,SRC3093_04_1847_second_variation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1847_SECOND_VARIATION_DERIVATION.csv,True,True,d23a8cdeec70614b8459d2e9c36435284aa03492325f683b017506f42b04e285,True,,1847 second variation/range contract.
3093,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2026-06-25T21:10:46.931140+00:00,False,False,False,False,SRC3093_05_1847_hessian,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1847_PARENT_HESSIAN_AUDIT.csv,True,True,0662b41618dbd0f16e57310d20d5c7a1c187992df4b06ab70cca4e9d8c483efb,True,,1847 missing parent Hessian/sign/source audit.
3093,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2026-06-25T21:10:46.931140+00:00,False,False,False,False,SRC3093_06_1847_norm,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1847_FIELD_NORMALIZATION_LOCKS.csv,True,True,1c4b042139571181e6e3038f58c209579fa4ada1e83c5587fb7cd85531855b2c,True,,1847 field normalization locks and beta target.
3093,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2026-06-25T21:10:46.931140+00:00,False,False,False,False,SRC3093_07_1847_alpha_template,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1847_ALPHA_SOURCE_ROW_TEMPLATE.csv,True,True,ec805db501d26a350aa64388b1d8b43eacc33f273c5abb54301a836e56a0f1b5,True,,1847 fallback alpha source-row schema.
3093,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2026-06-25T21:10:46.931140+00:00,False,False,False,False,SRC3093_08_1094_parent_clause,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1094_PARENT_XHAT_ACTION_CLAUSE_ATTEMPT.csv,True,True,8ab8079c57d08886310fce0c0a061db154dd68a848f22436b7207701d26e1434,True,,1094 parent Xhat clause needed for direct product scoring.
3093,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2026-06-25T21:10:46.931140+00:00,False,False,False,False,SRC3093_09_1094_direct_product,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1094_DIRECT_WEP_PRODUCT_CONTRACT.csv,True,True,64dcd4aceaa2f7fdd5059d5fea7948264b115fb00512d4eac34f385251968983,True,,1094 direct product bound exists but prediction side is missing.
