gate,status,decision,claim_promoted,passed,checkpoint_marker,valid_for_claim,source_checked_date
C3_source_execution,CLOSED,2272 Q-functionals reproduce the source fixed point exactly,False,True,MTS_C3_CFF_F4_COMBINED_NATURAL_FLOW_4933,False,2026-07-12
photon_source_execution,CLOSED_WITH_CONVENTION_FIREWALL,four-coordinate root reconstructed; leading exponent differs by 0.0481,False,True,MTS_C3_CFF_F4_COMBINED_NATURAL_FLOW_4933,False,2026-07-12
common_scheme,CLOSED_FOR_PARTIAL_SYSTEM,shared 20-equation natural-essential projection assembled,False,True,MTS_C3_CFF_F4_COMBINED_NATURAL_FLOW_4933,False,2026-07-12
partial_common_zero,CLOSED,beta infinity norm=1.445e-13,False,True,MTS_C3_CFF_F4_COMBINED_NATURAL_FLOW_4933,False,2026-07-12
partial_signed_index,CLOSED,one relevant and four irrelevant directions; gap=0.242075,False,True,MTS_C3_CFF_F4_COMBINED_NATURAL_FLOW_4933,False,2026-07-12
portal_a6_completion,OPEN_QUANTIFIED,linear/quadratic CFF-curvature a6 source remains to derive,False,True,MTS_C3_CFF_F4_COMBINED_NATURAL_FLOW_4933,False,2026-07-12
direct_C3_photon_Hessian,OPEN_QUANTIFIED,seven photon-background source rows have exact response maps but no coefficients,False,True,MTS_C3_CFF_F4_COMBINED_NATURAL_FLOW_4933,False,2026-07-12
full_combined_fixed_point,BLOCKED_BY_TWO_EXACT_TERMS,partial root is not promoted as the full point,False,True,MTS_C3_CFF_F4_COMBINED_NATURAL_FLOW_4933,False,2026-07-12
local_GR_Newton_Maxwell,RETAINED_NOT_PROMOTED,no local or ultraviolet MTS claim follows from the partial flow,False,True,MTS_C3_CFF_F4_COMBINED_NATURAL_FLOW_4933,False,2026-07-12
next_target,DERIVATION_REQUIRED,4934-Y5-R2FR-portal-a6-completion-and-direct-C3-photon-Hessian-gate.md,False,True,MTS_C3_CFF_F4_COMBINED_NATURAL_FLOW_4933,False,2026-07-12
