row_id,gate,status,claim_allowed,theorem_or_failure,observable_links,next_action,source_paths
"SCJ3119_0","same_current_owner_theorem","conditional_theorem_not_parent_signed","false","If A_Q, T_Q, fixed n_A, q-basic matter currents, no source-only weights, and radiative/readout closure are signed, then delta_J=0 by chain rule.","EM;WEP;R10;source_coupling;local_GR","attempt current-owner proof before finite deltaJ runner","D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1100-Y5-R10-parent-TQ-owner-fixed-charge-lattice-and-gauge-norm-signature.md; D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3119-Y5-R2FR-same-current-owner-or-deltaJ-source-test-residual-priority-under-AX1090.md"
"SCJ3119_1","Ward_conservation_not_enough","guard_signed_private_nonclaim","false","nabla_mu J_Q^mu=0 proves conservation of the selected current but not hidden-independence of its normalization.","WEP;R10;source_test_charge","do not use current conservation as current-owner proof","D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1062-Y5-R10-parent-source-normalization-tauWEP-product-theorem-or-WEP-alpha-closure.md; D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3119-Y5-R2FR-same-current-owner-or-deltaJ-source-test-residual-priority-under-AX1090.md"
"SCJ3119_2","hidden_cA_current_weight","retained_countermodel","false","J_Q=sum_A n_A c_A(y)J_A can preserve a selected visible current form while changing source/test material response unless c_A is forbidden or q-basic.","WEP;R10;EM_source","retain delta_J_A finite residual unless no c_A slot theorem closes","D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1088-Y5-R10-minimal-parent-ordinary-matter-signature-clause-or-finite-coefficient-intake.md; D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1098-Y5-R10-ordinary-constant-owner-action-signature-or-source-backed-coefficient-prior.md"
"SCJ3119_3","source_only_weight","retained_countermodel","false","w_A(y)S_A or kappa_A(y)T_A can create active-source or WEP residuals while public metric descent remains clean.","WEP;Newton_GM;local_GR","keep qbar_source_weight and delta_kappa residuals live","D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1062-Y5-R10-parent-source-normalization-tauWEP-product-theorem-or-WEP-alpha-closure.md; D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1088-Y5-R10-minimal-parent-ordinary-matter-signature-clause-or-finite-coefficient-intake.md"
"SCJ3119_4","post_variation_current_selector","retained_countermodel","false","If current extraction occurs after material/readout projection, source normalization can become a readout artifact rather than parent current.","source_calibration;WEP;R10","require variation-before-readout in any current-owner proof","D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1088-Y5-R10-minimal-parent-ordinary-matter-signature-clause-or-finite-coefficient-intake.md"
"SCJ3119_5","deltaJ_WEP_projection","template_nonclaim","false","Delta a_AB^J ~ K_WEP(lambda)[Q_A^J-Q_B^J] beta_source_J delta_J tau_WEP, but all MTS projection factors are missing.","WEP;composition","stage finite deltaJ product input template in 3120","D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1062-Y5-R10-parent-source-normalization-tauWEP-product-theorem-or-WEP-alpha-closure.md; D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3119-Y5-R2FR-same-current-owner-or-deltaJ-source-test-residual-priority-under-AX1090.md"
"SCJ3119_6","deltaJ_R10_projection","template_nonclaim","false","alpha_J(lambda)=K_X^R10 beta_s^J beta_t^J + tail, but K_X beta_s beta_t lambda and valid bound inputs are not sourced.","R10;short_range","stage finite deltaJ R10 product template in 3120","D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3118-Y5-R2FR-no-hidden-visible-coefficient-hom-for-local-EM-or-balpha-product-bound-runner-under-AX1090.md; D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3119-Y5-R2FR-same-current-owner-or-deltaJ-source-test-residual-priority-under-AX1090.md"
"SCJ3119_7","deltaJ_source_calibration","template_nonclaim","false","Hidden EM current normalization can alter EM binding/stress and enter Delta_GM_J in the local source bridge.","source_coupling;Newton_GM;local_GR","connect deltaJ to source-mass residual vector after product runner","D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3116-Y5-R2FR-public-Hodge-Maxwell-stress-lock-or-constitutive-residual-vector-under-AX1090.md; D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3119-Y5-R2FR-same-current-owner-or-deltaJ-source-test-residual-priority-under-AX1090.md"
"SCJ3119_8","priority_decision","selected_second_priority_nonclaim","false","delta_J is second finite EM residual after b_alpha because it mimics source/test alpha effects and touches source calibration directly.","WEP;R10;source_coupling","build 3120 deltaJ runner or current-owner source intake","D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3117-Y5-R2FR-EM-coupling-owner-no-extra-F2-or-alpha-residual-bound-priority-under-AX1090.md; D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3119-Y5-R2FR-same-current-owner-or-deltaJ-source-test-residual-priority-under-AX1090.md"
"SCJ3119_9","next_target_3120","queued_private_nonclaim","false","Create a nonclaim deltaJ input template/runner requiring beta_source_J beta_test_J tau K_X material conventions and source paths.","WEP;R10;source_coupling","write 3120 deltaJ product-bound runner or current-owner intake","D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3119-Y5-R2FR-same-current-owner-or-deltaJ-source-test-residual-priority-under-AX1090.md"
