source_id,local_path,exists,role,status,checkpoint,branch_id,control_only,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
SRC3040_00_3039_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3039-Y5-R2FR-relative-source-vertex-weight-theorem-or-first-XiH-bound-row-under-AX1090.md,True,3039 handoff: single-potential readout theorem or residual bound,PRESENT,3040,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T14:55:41.505471+00:00
SRC3040_01_3039_single,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3039_SINGLE_POTENTIAL_READOUT_REDUCTION.csv,True,single-potential route extracted in 3039,PRESENT,3040,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T14:55:41.505471+00:00
SRC3040_02_3039_quadratic,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3039_TWO_CHANNEL_QUADRATIC_EULER_LAW.csv,True,two-channel ratio law,PRESENT,3040,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T14:55:41.505471+00:00
SRC3040_03_3039_residual,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3039_DELTA_A_PREFACTOR_RESIDUAL_CONTRACT.csv,True,delta_prefactor residual contract,PRESENT,3040,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T14:55:41.505471+00:00
SRC3040_04_3024_ansatz,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3024_MINIMAL_HCORE_ANSATZ.csv,True,Hcore ansatz and psi_N=-log(N),PRESENT,3040,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T14:55:41.505471+00:00
SRC3040_05_3033_shapes,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3033_COEFFICIENT_SOURCE_SHAPE_ROWS.csv,True,C_psiH/C_WH coefficient shapes,PRESENT,3040,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T14:55:41.505471+00:00
SRC3040_06_3035_ratio,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3035_RATIO_PROOF_ATTEMPT.csv,True,Xi_H=C_WH unity condition,PRESENT,3040,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T14:55:41.505471+00:00
SRC3040_07_pg_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Hamiltonian_charge_Poisson_Gauss_calibration_CONTRACT.csv,True,same-frame weak-field potential and Poisson/Gauss contracts,PRESENT,3040,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T14:55:41.505471+00:00
SRC3040_08_newton_stack,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_source_normalized_Newton_branch_STACK.csv,True,source-normalized Newton stack and g_00 weak-field row,PRESENT,3040,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T14:55:41.505471+00:00
SRC3040_09_min_parent,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_MIN_PARENT_LOCAL_GR_ACTION_BLOCKS.csv,True,minimum local-GR parent action blocks and metric readout row,PRESENT,3040,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T14:55:41.505471+00:00
