clause_id,contract_clause,formal_source_ids,corpus_evidence_summary,adoption_verdict,actual_corpus_adopts_clause_now,valid_for_public_claim,timestamp_utc
PPC4048_0_field_space,field-space factorization,"12,33,83","parent objects and projection chain exist, but Q_parent^loc=Q_dyn^loc x K_G x Q_aux is not formalized",PARTIAL_NEEDS_FORMAL_PRODUCT_MAP,False,False,2026-07-02T00:28:09+00:00
PPC4048_1_action_domain,local <=2PN action domain,"12,36,83,144",formal corpus explicitly says action/closed derivation and local GR theorem are not done,CONFLICT_REQUIRES_NEW_LOCAL_ACTION_PACKET,False,False,2026-07-02T00:28:09+00:00
PPC4048_2_fixed_coupling,constant local coupling branch,"35,36,83",kappa_GR/G coupling is present as calibrated scaffold; K_G superselection/no-Hom branch is not adopted,PARTIAL_NEEDS_KG_SUPERSELECTION_CLAUSE,False,False,2026-07-02T00:28:09+00:00
PPC4048_3_source_functor,ordinary matter source descent,"35,36,19",total conserved source spine exists; q-basic matter functor and no source-prefactor grammar are not in formal corpus,PARTIAL_NEEDS_MATTER_FUNCTOR_INSERTION,False,False,2026-07-02T00:28:09+00:00
PPC4048_4_em_owner,unique EM owner,"29,32,35",formal EM sector says Maxwell recovery is not passed; PPC4048 can use standard observed EM as local-GR source but does not unify EM,COMPATIBLE_LOCAL_STANDARD_EM_ONLY_GLOBAL_EM_OPEN,False,False,2026-07-02T00:28:09+00:00
PPC4048_5_source_charge,same source charge,"35,36,37","stress/source conservation spine exists; Pi_M/H_tau/Hilbert same-charge machinery is post-checkpoint, not formalized",PARTIAL_NEEDS_SOURCE_CHARGE_MAP,False,False,2026-07-02T00:28:09+00:00
PPC4048_6_boundary_support,proper boundary/support branch,"96,144,37","formal closure/no-leak language exists but is explicitly closure-only, not a parent theorem",PARTIAL_NEEDS_BOUNDARY_SUPPORT_DERIVATION,False,False,2026-07-02T00:28:09+00:00
PPC4048_7_gamma_khat_qloc,Gamma/Khat/q_loc projector silence,"95,120,121,144",formal corpus directly says Khat/q_loc/local PPN theorem remains open,CONFLICT_PRIMARY_FORMAL_BLOCKER,False,False,2026-07-02T00:28:09+00:00
PPC4048_8_memory_reset,local retarded memory branch,"37,83,96,144","local no-leak/switch-off route exists but old formal corpus treats it as closure/quarantine, not reset theorem",PARTIAL_NEEDS_MEMORY_RESET_PROMOTION,False,False,2026-07-02T00:28:09+00:00
PPC4048_9_readout_firewall,readout-after-variation firewall,"19,120,145",proof obligations and testing map support the firewall posture; exact readout-order action clause not formalized,MOSTLY_COMPATIBLE_NEEDS_EXPLICIT_READOUT_CLAUSE,False,False,2026-07-02T00:28:09+00:00
PPC4048_10_claim_firewall,claim firewall,"19,120,144,145",formal corpus strongly supports nonclaim discipline and local GR blockage until theorem is supplied,SUPPORTED_KEEP,True,False,2026-07-02T00:28:09+00:00
