timestamp_utc,branch_id,checkpoint_id,source_id,source_path,source_path_exists,role,valid_for_claim
2026-06-29T14:46:27.222071+00:00,MTS_R2FR_Y5_PIM_FLUX_CLOSURE_3573,3573,handoff_3572,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3572_NEXT_TARGET.csv,True,declares 3573 target,False
2026-06-29T14:46:27.222245+00:00,MTS_R2FR_Y5_PIM_FLUX_CLOSURE_3573,3573,projector_proof_3572,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3572_PROJECTOR_NATURALITY_PROOF.csv,True,imports closed delta_Gamma Pi_M result,False
2026-06-29T14:46:27.222381+00:00,MTS_R2FR_Y5_PIM_FLUX_CLOSURE_3573,3573,projector_bounds_3572,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3572_KPROJECTOR_OPERATOR_NORM_ROWS.csv,True,imports d(Pi_M J_H) as next flux target,False
2026-06-29T14:46:27.222510+00:00,MTS_R2FR_Y5_PIM_FLUX_CLOSURE_3573,3573,selector_update_3572,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3572_BLC_SELECTOR_UPDATE.csv,True,imports selector update after projector Gamma closure,False
2026-06-29T14:46:27.222631+00:00,MTS_R2FR_Y5_PIM_FLUX_CLOSURE_3573,3573,status_3572,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3572_STATUS.csv,True,imports remaining source-calibration blockers,False
2026-06-29T14:46:27.222767+00:00,MTS_R2FR_Y5_PIM_FLUX_CLOSURE_3573,3573,pim_flux,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_PiM_flux_closure_Ward_topological_CONTRACT.csv,True,imports Ward/topological flux closure contract,False
2026-06-29T14:46:27.222882+00:00,MTS_R2FR_Y5_PIM_FLUX_CLOSURE_3573,3573,mass_flux,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_mass_flux_projector_Euler_calibration_CONTRACT.csv,True,imports Euler/calibration mass-flux contract,False
2026-06-29T14:46:27.222996+00:00,MTS_R2FR_Y5_PIM_FLUX_CLOSURE_3573,3573,charge_residuals,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_charge_current_equality_RESIDUAL_DECOMPOSITION.csv,True,imports charge-current residual decomposition,False
2026-06-29T14:46:27.223116+00:00,MTS_R2FR_Y5_PIM_FLUX_CLOSURE_3573,3573,charge_attempt,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_charge_current_equality_DIRECT_ATTEMPT.csv,True,imports direct charge-current equality attempt,False
2026-06-29T14:46:27.223227+00:00,MTS_R2FR_Y5_PIM_FLUX_CLOSURE_3573,3573,pg_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_PG_residual_input_DERIVE_OR_FILL_GATE.csv,True,imports Poisson/Gauss derive-or-fill rows,False
